game_id,游戏名称,steam_app_id
1202,Stardew Valley,730
391,Dungeon Warfare 2,730
2922,黑神话：悟空,730
52,Aimlabs,730
1407,Titan Quest II,730
2423,深岩银河,730
2205,我在地府打麻将,730
1612,《战地风云™ 6》Beta 公测,730
100,Baldur's Gate 3,730
946,Palworld / 幻兽帕鲁,730
2285,明末：渊虚之羽,730
368,Dota 2,730
2221,战场兄弟 Battle Brothers,730
455,Factorio,730
2380,永劫无间,730
2437,满庭芳：宋上繁华,730
142,Bongo Cat,730
1488,Wallpaper Engine：壁纸引擎,730
1166,Slay the Spire,730
2340,极限竞速：地平线 5,730
2631,艾尔登法环 黑夜君临,730
1231,Streets of Rogue,730
1982,多重人生,730
506,Formula Legends Demo,730
2186,恋爱成双,730
745,Lossless Scaling,730
1776,光与影：33号远征队,730
2619,背包乱斗：福西法的宝藏 Backpack Battles,730
1832,剑星,730
572,HELLDIVERS™ 2,730
944,PUBG: BATTLEGROUNDS,730
2759,边缘世界 RimWorld,730
1014,Rabi-Ribi,730
732,Limbus Company,730
2326,机动战士高达 激战任务２,730
2096,小黑盒加速器,730
1499,"Warhammer 40,000: 星际战士2",730
1177,Sons Of The Forest,730
634,Idle Champions of the Forgotten Realms,730
459,Fallen / Brand New World,730
80,Ato,730
25,AI LIMIT 无限机兵,730
676,Keep on Mining!,730
933,PEAK,730
1591,《上古卷轴®OL》,730
811,Monster Hunter Wilds,730
2850,非生物因素,730
1947,土豆兄弟(Brotato),730
814,Monster Hunter: World,730
556,Grand Theft Auto V 增强版,730
237,Counter-Strike 2,730
1228,Street Fighter 6,730
1317,The Elder Scrolls V: Skyrim Special Edition,730
1079,SAO Utils 2: Progressive,730
1717,人类一败涂地 / Human Fall Flat,730
343,Devil May Cry 5,730
1155,Sid Meier's Civilization VI,730
405,ENDER MAGNOLIA: Bloom in the Mist,730
2006,太吾绘卷 The Scroll Of Taiwu,730
1952,在校工室与JK共度的日常,730
68,Apex Legends,730
1716,人渣,730
279,DEAD OR ALIVE Xtreme Venus Vacation,730
1697,九球轮盘赌,730
2218,我！勇者?,730
2547,神之天平（ASTLIBRA Revision）,730
282,DEATH STRANDING DIRECTOR'S CUT,730
19,A Plague Tale: Requiem,730
359,Divinity: Original Sin 2,730
1611,《战地风云™ 2042》,730
1752,你的老婆,730
2056,完蛋！我被美女包围了！2,730
1838,动物迷城,730
2022,奇迹一刻 Surmount,730
2841,雾锁王国 (Enshrouded),730
1139,Shadow of the Tomb Raider,730
246,Crime Scene Cleaner,730
1737,伐定天下,730
2227,战锤40K：暗潮,730
631,INSIDE,730
44,Age of Empires IV: Anniversary Edition,730
1876,双影奇境,730
574,HITMAN World of Assassination,730
897,OBS Studio,730
529,Garry's Mod,730
725,Lies of P,730
426,Europa Universalis IV,730
1785,全面战争：战锤3,730
2802,钢铁指挥官,730
2740,超级电影大亨 Demo,730
1619,《极品飞车™：不羁》,730
1937,嗜血印 Bloody Spell,730
1268,TEVI,730
436,F1® Manager 2024,730
1608,《彩虹六号：围攻X》,730
864,NINJA GAIDEN: Ragebound（忍者外传：怒之羁绊）,730
274,DARK SOULS™: REMASTERED,730
501,Football Manager 2024,730
